CODIGOAPOYO;PINTADOAPOYO;X;Y;CODIGOGEOGRAFICO
18794;1203789;1105632;1280254;67
18795;1312014;1105378;1280611;67
18796;1312022;1105391;1280605;67
18797;1312031;1105382;1280638;67
20019;1313011;1105221;1280466;67
20020;8431329;1105221;1280465;67
20021;1204025;1105796;1280419;67
20025;1204050;1105729;1280363;67
20042;1204076;1105747;1280361;67
20043;1204084;1105767;1280370;67
20045;1204092;1105797;1280373;67
19608;1228676;1105810;1280177;67
19612;1328727;1105752;1280172;67
19618;1328743;1105761;1280173;67
19620;1328735;1105750;1280176;67
19622;1328751;1105735;1280172;67
19627;1312103;1105169;1280488;67
19628;1312111;1105156;1280506;67
19629;1312120;1105242;1280541;67
19891;1312481;1105360;1280672;67
19892;1312499;1105327;1280670;67
19893;1312502;1105310;1280670;67
19894;1312511;1105338;1280663;67
19895;1312529;1105318;1280659;67
19896;1312537;1105317;1280659;67
19897;1312545;1105308;1280648;67
19898;1312553;1105290;1280649;67
18563;1249053;1105312;1280459;67
18564;1249070;1105299;1280455;67
18565;1249088;1105291;1280451;67
18566;1249096;1105288;1280447;67
18567;1249100;1105280;1280419;67
18568;1249118;1105314;1280431;67
18569;1249126;1105328;1280400;67
19631;1312138;1105203;1280532;67
19637;1228391;1105353;1280285;67
19638;1228404;1105347;1280303;67
19639;1312171;1105159;1280528;67
19753;1328841;1105762;1280205;67
19754;1328859;1105753;1280205;67
18717;1312049;1105275;1280541;67
18725;1312057;1105260;1280527;67
18728;1249321;1105430;1280577;67
18729;1249339;1105448;1280583;67
18730;1249347;1105460;1280587;67
18734;1249371;1105425;1280596;67
21221;1313037;1105525;1280212;67
153124;2797704;1105166;1279954;67
22526;1161920;1105599;1280142;67
22527;1161938;1105612;1280128;67
22528;1161946;1105639;1280137;67
17673;1227441;1105746;1280453;67
17675;1227459;1105739;1280444;67
17679;1202812;1105421;1280382;67
17681;1202821;1105430;1280387;67
19755;1328883;1105753;1280239;67
19756;1312286;1105608;1280046;67
19757;1312294;1105615;1280049;67
19767;1328891;1105778;1280107;67
19768;1203797;1105676;1280240;67
19770;1203801;1105667;1280238;67
19774;1328905;1105790;1280081;67
19778;1203827;1105660;1280217;67
19779;1328913;1105789;1280081;67
19780;1161903;1105240;1280072;67
19781;1328921;1105804;1280080;67
19782;1328930;1105801;1280084;67
19783;1328948;1105777;1280102;67
19786;1312324;1105264;1280562;67
19787;1312332;1105247;1280554;67
18735;1249380;1105450;1280596;67
18737;1312081;1105213;1280511;67
18738;1249398;1105471;1280599;67
18739;1312090;1105183;1280508;67
18742;1228030;1105302;1280177;67
