CODIGOTRAMOBT;X1;Y1;X2;Y2;LONGITUD;ACOMETIDA
216475;473112;1560345;473113;1560391;0;N
216478;473088;1553695;473094;1553684;0;S
216481;473122;1556569;473124;1556507;0;N
216484;473079;1556642;473074;1556587;0;S
216487;473093;1557764;473110;1557713;0;S
216490;473127;1558461;473110;1558470;0;S
216493;473117;1558504;473080;1558483;0;S
216496;473103;1558781;473099;1558792;0;S
216499;473106;1558785;473114;1558801;0;S
216502;473086;1558852;473108;1558831;0;S
216505;473066;1560836;473091;1560832;0;S
216508;473108;1561211;473108;1561187;0;S
216511;473094;1556455;473074;1556447;0;S
216514;473097;1557727;473114;1557721;0;N
216517;473054;1557795;473098;1557808;0;N
216520;473103;1558163;473081;1558191;0;S
216523;473092;1558412;473126;1558387;0;S
216526;473137;1558516;473120;1558484;0;S
216529;473109;1558573;473119;1558603;0;S
216532;473110;1558608;473112;1558591;0;S
216535;473113;1559247;473091;1559219;0;S
216538;473061;1561197;473126;1561198;0;N
216541;473085;1553461;473103;1553420;0;S
216544;473093;1553419;473109;1553418;0;S
216547;473084;1553530;473082;1553561;0;N
216550;473061;1553579;473100;1553587;0;N
216553;473091;1556198;473107;1556213;0;S
216556;473113;1556272;473099;1556312;0;S
216559;473115;1556504;473101;1556505;0;S
216562;473091;1556704;473088;1556720;0;S
216565;473190;1556965;473084;1557151;0;N
216568;473098;1557732;473108;1557710;0;S
216571;473052;1558236;473123;1558210;0;N
216574;473096;1558444;473118;1558426;0;S
216577;473083;1558545;473090;1558549;0;S
216580;473103;1558580;473080;1558598;0;S
216583;473119;1553362;473106;1553397;0;S
216586;473163;1552835;473128;1552840;0;N
216589;473098;1556410;473083;1556409;0;S
216592;473082;1556572;473115;1556585;0;S
216595;473093;1556605;473124;1556644;0;S
216598;473099;1558178;473108;1558164;0;S
216601;473087;1558182;473082;1558190;0;S
216604;473062;1558420;473084;1558431;0;N
216607;473074;1558423;473080;1558456;0;S
216610;473123;1558455;473114;1558499;0;S
216613;473136;1558607;473078;1558631;0;S
216616;473121;1559049;473109;1558967;0;S
216619;473095;1559166;473107;1559198;0;S
216622;473114;1553502;473125;1553523;0;S
216625;473109;1558967;473081;1558938;0;S
216628;473095;1559168;473112;1559155;0;S
216631;473096;1559224;473113;1559210;0;S
216634;473064;1558807;473106;1558807;0;S
216637;473091;1557674;473094;1557690;0;S
216640;473072;1556513;473113;1556536;0;S
216643;473138;1556682;473126;1556701;0;S
216646;473097;1557740;473103;1557721;0;S
216649;473113;1558872;473118;1558915;0;S
216652;473116;1558966;473130;1558958;0;S
216655;473108;1559135;473122;1559133;0;S
216658;473050;1559212;473082;1559208;0;N
216661;473142;1559220;473081;1559187;0;N
216664;473096;1559464;473106;1559479;0;S
216667;473077;1556629;473096;1556602;0;S
216670;473119;1554132;473115;1554133;0;S
216673;473104;1553411;473079;1553411;0;S
216676;473099;1556658;473120;1556643;0;S
216679;473072;1553712;473121;1553669;0;S
216682;473120;1556224;473100;1556250;0;S
216685;473091;1556357;473120;1556326;0;S
216688;473129;1556374;473103;1556394;0;S
216691;473090;1556763;473104;1556777;0;S
216694;473149;1558532;473108;1558558;0;N
216697;473112;1558811;473127;1558837;0;S
216700;473153;1559204;473130;1559219;0;N
216703;473080;1559459;473098;1559512;0;N
216706;473051;1560412;473104;1560303;0;N
216709;473082;1556780;473080;1556780;0;S
216712;473132;1559225;473105;1559234;0;S
216715;473075;1553821;473121;1553844;0;S
216718;473053;1554247;473132;1554236;0;S
216721;473108;1553911;473081;1553937;0;S
216724;473146;1556429;473118;1556476;0;S
216727;473110;1556588;473098;1556615;0;S
216730;473132;1557781;473101;1557769;0;S
216733;473050;1558498;473101;1558452;0;N
